TimeUS,gprLat,gprLng,gprAlt,gprGC,gpGC,gprN,gprE,gprD
 45914127, -353629424, 1491650837, -1111376346, 354.0521, 354.0521, 0.708, -0.07300001, 0.006
 45934119, -353629424, 1491650837, -1110403389, 354.0521, 354.0521, 0.708, -0.07300001, 0.006
 45954111, -353629424, 1491650837, -1109442158, 354.0521, 354.0521, 0.708, -0.07300001, 0.006
 45974103, -353629424, 1491650837, -1108463640, 354.0521, 354.0521, 0.708, -0.07300001, 0.006
 45994095, -353629424, 1491650837, -1107562106, 354.0521, 354.0521, 0.708, -0.07300001, 0.006
 46014087, -353629424, 1491650837, -1106941641, 354.0521, 354.0521, 0.708, -0.07300001, 0.006
 46034079, -353629296, 1491650797, -1106453687, 354.0151, 354.0151, 1.425, -0.149, 0.027
 46054071, -353629296, 1491650797, -1105961389, 354.0151, 354.0151, 1.425, -0.149, 0.027
 46074063, -353629296, 1491650797, -1105475380, 354.0151, 354.0151, 1.425, -0.149, 0.027
 46094055, -353629296, 1491650797, -1104952806, 354.0151, 354.0151, 1.425, -0.149, 0.027
 46114047, -353629296, 1491650797, -1104913451, 354.0151, 354.0151, 1.425, -0.149, 0.027
 46134039, -353629296, 1491650797, -1104456747, 354.0151, 354.0151, 1.425, -0.149, 0.027
 46154031, -353629296, 1491650797, -1103966167, 354.0151, 354.0151, 1.425, -0.149, 0.027
 46174023, -353629296, 1491650797, -1103503756, 354.0151, 354.0151, 1.425, -0.149, 0.027
 46194015, -353629296, 1491650797, -1103064741, 354.0151, 354.0151, 1.425, -0.149, 0.027
 46214007, -353629296, 1491650797, -1102582282, 354.0151, 354.0151, 1.425, -0.149, 0.027
 46233999, -353629135, 1491651271, -1102098473, 354.0239, 354.0239, 2.131, -0.223, 0.048
 46253991, -353629135, 1491651271, -1101618813, 354.0239, 354.0239, 2.131, -0.223, 0.048
 46273983, -353629135, 1491651271, -1101169273, 354.0239, 354.0239, 2.131, -0.223, 0.048
 46293975, -353629135, 1491651271, -1100714035, 354.0239, 354.0239, 2.131, -0.223, 0.048
 46313967, -353629135, 1491651271, -1101895762, 354.0239, 354.0239, 2.131, -0.223, 0.048
 46333959, -353629135, 1491651271, -1101466435, 354.0239, 354.0239, 2.131, -0.223, 0.048
 46353951, -353629135, 1491651271, -1101056698, 354.0239, 354.0239, 2.131, -0.223, 0.048
 46373943, -353629135, 1491651271, -1100580416, 354.0239, 354.0239, 2.131, -0.223, 0.048
