TimeUS,mX,mY,mZ,obX,obY,ofX,ofY,rfD,gpSA,gpHA,gpVA,gpT,aT,ofT
 55113779, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 54994, 55113779, 0
 55133771, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 54994, 55133771, 0
 55153763, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 54994, 55153763, 0
 55173755, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 54994, 55173755, 0
 55193747, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 54994, 55193747, 0
 55213739, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 54994, 55213739, 0
 55233731, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55194, 55233731, 0
 55253723, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55194, 55253723, 0
 55273715, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55194, 55273715, 0
 55293707, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55194, 55293707, 0
 55313699, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55194, 55313699, 0
 55333691, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55194, 55333691, 0
 55353683, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55194, 55353683, 0
 55373675, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55194, 55373675, 0
 55393667, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55194, 55393667, 0
 55413659, 216.4077, 69.88271, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55194, 55413659, 0
 55433651, 216.4077, 69.88274, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55394, 55433651, 0
 55453643, 216.4077, 69.88274, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55394, 55453643, 0
 55473635, 216.4077, 69.88274, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55394, 55473635, 0
 55493627, 216.4077, 69.88274, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55394, 55493627, 0
 55513619, 216.4077, 69.88274, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55394, 55513619, 0
 55533611, 216.4077, 69.88265, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55394, 55533611, 0
 55553603, 216.4077, 69.88265, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55394, 55553603, 0
 55573595, 216.4077, 69.88265, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55394, 55573595, 0
 55593587, 216.4077, 69.88265, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55394, 55593587, 0
 55613579, 216.4077, 69.88265, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55394, 55613579, 0
 55633571, 216.4076, 69.88289, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55594, 55633571, 0
 55653563, 216.4076, 69.88289, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55594, 55653563, 0
 55673555, 216.4076, 69.88289, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55594, 55673555, 0
 55693547, 216.4076, 69.88289, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55594, 55693547, 0
 55713539, 216.4076, 69.88289, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55594, 55713539, 0
 55733531, 216.4076, 69.88306, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55594, 55733531, 0
 55753523, 216.4076, 69.88306, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55594, 55753523, 0
 55773515, 216.4076, 69.88306, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55594, 55773515, 0
 55793507, 216.4076, 69.88306, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55594, 55793507, 0
 55813499, 216.4076, 69.88306, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55594, 55813499, 0
 55833491, 216.4079, 69.88197, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55794, 55833491, 0
 55853483, 216.4079, 69.88197, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55794, 55853483, 0
 55873475, 216.4079, 69.88197, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55794, 55873475, 0
 55894300, 216.4079, 69.88197, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55794, 55894300, 0
 55914292, 216.4079, 69.88197, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55794, 55914292, 0
 55934284, 216.408, 69.88182, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55794, 55934284, 0
 55954276, 216.408, 69.88182, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55794, 55954276, 0
 55974268, 216.408, 69.88182, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55794, 55974268, 0
 55994260, 216.408, 69.88182, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55794, 55994260, 0
 56014252, 216.408, 69.88182, -538.5582, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55794, 56014252, 0
 56034244, 216.4086, 69.87993, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55994, 56034244, 0
 56054236, 216.4086, 69.87993, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55994, 56054236, 0
 56074228, 216.4086, 69.87993, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55994, 56074228, 0
 56094220, 216.4086, 69.87993, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55994, 56094220, 0
 56114212, 216.4086, 69.87993, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55994, 56114212, 0
 56134204, 216.4091, 69.87848, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55994, 56134204, 0
 56154196, 216.4091, 69.87848, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55994, 56154196, 0
 56174188, 216.4091, 69.87848, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55994, 56174188, 0
 56194180, 216.4091, 69.87848, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55994, 56194180, 0
 56214172, 216.4091, 69.87848, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 55994, 56214172, 0
 56234164, 216.4091, 69.87859, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 56194, 56234164, 0
 56254156, 216.4091, 69.87859, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 56194, 56254156, 0
 56274148, 216.4091, 69.87859, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 56194, 56274148, 0
 56294140, 216.4091, 69.87859, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 56194, 56294140, 0
 56314132, 216.4091, 69.87859, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 56194, 56314132, 0
 56334124, 216.4092, 69.87823, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 56194, 56334124, 0
 56354116, 216.4092, 69.87823, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 56194, 56354116, 0
 56374108, 216.4092, 69.87823, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 56194, 56374108, 0
 56394100, 216.4092, 69.87823, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 56194, 56394100, 0
 56414092, 216.4092, 69.87823, -538.558, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 56194, 56414092, 0
 56434084, 216.4164, 69.88091, -538.5547, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 56394, 56434084, 0
 56454076, 216.4164, 69.88091, -538.5547, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 56394, 56454076, 0
 56474068, 216.4164, 69.88091, -538.5547, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 56394, 56474068, 0
 56494060, 216.4164, 69.88091, -538.5547, 0, 0, 0, 0, 0, 0.05, 2.5, 2.5, 56394, 56494060, 0
