TimeUS,m00,m01,m02,m10,m11,m12,m20,m21,m22
 87093482, -0.9537776, -0.2374662, 0.1841691, 0.1713153, -0.933163, -0.316003, 0.2468998, -0.2698456, 0.9307115
 87113474, -0.9534962, -0.2386792, 0.1840584, 0.1729574, -0.9333997, -0.3144051, 0.246842, -0.2679498, 0.9312744
 87134299, -0.9532396, -0.2397927, 0.1839401, 0.1745387, -0.9336859, -0.312677, 0.2467199, -0.2659514, 0.9318794
 87154291, -0.9530179, -0.2408558, 0.183699, 0.1761069, -0.9339713, -0.3109405, 0.2464615, -0.2639812, 0.9325078
 87174283, -0.9528267, -0.2418688, 0.1833595, 0.1776639, -0.9342677, -0.3091591, 0.2460829, -0.2619987, 0.9331667
 87194275, -0.9526503, -0.2427591, 0.1830996, 0.1791007, -0.9346099, -0.3072903, 0.2457242, -0.2599469, 0.9338347
 87214267, -0.9525018, -0.2434447, 0.1829617, 0.1803784, -0.9350713, -0.3051316, 0.2453649, -0.257636, 0.9345694
 87234259, -0.9523391, -0.2441562, 0.1828612, 0.1816852, -0.9355386, -0.3029162, 0.2450325, -0.2552557, 0.9353094
 87254251, -0.9521803, -0.2448278, 0.1827899, 0.1829359, -0.9359995, -0.3007316, 0.2447187, -0.2529119, 0.9360279
 87274243, -0.9520069, -0.2454993, 0.1827923, 0.1841853, -0.936477, -0.2984739, 0.2444559, -0.2504815, 0.9367499
 87294235, -0.9518235, -0.2461538, 0.1828675, 0.1854075, -0.9369637, -0.2961812, 0.2442463, -0.2480071, 0.9374626
 87314227, -0.9516321, -0.2468629, 0.1829073, 0.1867141, -0.9374522, -0.293805, 0.2439964, -0.2454429, 0.9382023
 87334219, -0.9514148, -0.2477322, 0.1828629, 0.18823, -0.9379272, -0.2913112, 0.2436793, -0.2427375, 0.9389883
 87354211, -0.9511539, -0.2486908, 0.1829186, 0.1897811, -0.9383539, -0.2889206, 0.2434943, -0.2400935, 0.9397158
 87374203, -0.950891, -0.2497494, 0.182843, 0.1914832, -0.9387642, -0.286454, 0.2431882, -0.2373751, 0.9404852
 87394195, -0.9506586, -0.2507555, 0.1826746, 0.1931077, -0.9391246, -0.2841733, 0.2428122, -0.2348759, 0.9412096
 87414187, -0.9504452, -0.2517062, 0.1824774, 0.1946606, -0.939465, -0.2819801, 0.2424072, -0.2324855, 0.9419073
 87434179, -0.9502499, -0.2525986, 0.1822612, 0.1961178, -0.9397696, -0.2799479, 0.241998, -0.2302758, 0.9425551
 87454171, -0.9500216, -0.253564, 0.1821109, 0.1975816, -0.9400102, -0.2781051, 0.2417035, -0.2282241, 0.9431295
 87474163, -0.9497634, -0.2546087, 0.1820004, 0.1990682, -0.9401876, -0.2764404, 0.2414986, -0.2263224, 0.9436401
 87494155, -0.9495486, -0.2554536, 0.1819368, 0.200328, -0.9403878, -0.2748443, 0.2413011, -0.224531, 0.9441185
 87514147, -0.9493023, -0.2563434, 0.1819701, 0.201605, -0.9405751, -0.2732653, 0.2412063, -0.2227253, 0.9445703
 87534139, -0.9490564, -0.2573402, 0.181846, 0.203013, -0.9407164, -0.2717322, 0.2409931, -0.2209721, 0.9450364
 87554131, -0.9487977, -0.2583883, 0.1817098, 0.2044439, -0.940814, -0.2703179, 0.2408021, -0.2193275, 0.945468
 87574123, -0.9485366, -0.259476, 0.1815231, 0.2059, -0.9408733, -0.2690035, 0.2405902, -0.217784, 0.9458787
 87594115, -0.9483244, -0.260507, 0.1811547, 0.2073041, -0.9408989, -0.2678328, 0.2402206, -0.2164382, 0.9462815
 87614107, -0.9481361, -0.261458, 0.1807698, 0.2086215, -0.9409288, -0.2667026, 0.239823, -0.2151579, 0.9466742
 87634099, -0.947957, -0.2624232, 0.1803101, 0.2099633, -0.9409438, -0.2655944, 0.2393598, -0.2139136, 0.9470734
 87654091, -0.9477635, -0.2634227, 0.1798695, 0.2113177, -0.9409348, -0.2645497, 0.2389339, -0.2127209, 0.9474494
 87674083, -0.9475558, -0.2643398, 0.1796176, 0.212563, -0.9409646, -0.2634435, 0.2386524, -0.2114473, 0.9478055
 87694075, -0.9473423, -0.2652429, 0.1794123, 0.2138164, -0.9410261, -0.2622068, 0.2383801, -0.2100383, 0.9481872
 87714067, -0.9471415, -0.2660605, 0.1792622, 0.2149959, -0.9411272, -0.2608762, 0.2381174, -0.2085461, 0.9485825
 87734059, -0.9469526, -0.2667659, 0.1792118, 0.2160829, -0.9412914, -0.2593813, 0.2378846, -0.2068972, 0.9490018
 87754051, -0.9467303, -0.2675257, 0.1792535, 0.2171937, -0.9414353, -0.2579271, 0.2377577, -0.2052547, 0.9493902
 87774043, -0.9465246, -0.2682098, 0.1793174, 0.2182295, -0.9415988, -0.2564524, 0.2376281, -0.2036062, 0.9497776
 87794035, -0.9463698, -0.2688088, 0.1792375, 0.2191937, -0.9417564, -0.2550474, 0.2373571, -0.2020814, 0.9501709
