TimeUS,aF,aR,aD,gyR,gyP,gyY,bAlt,gpLat,gpLng,gpAlt,gpN,gpE,gpD
 45193582, 0.0004267534, 0.002247015, -9.817011, 0.0006558815, 0.0006610883, 0.0006551645, 0.1820315, -353629454, 1491650594, 0, 0, 0, 0
 45213574, 0.003266197, 0.004180803, -9.812775, 0.0006608545, 0.0006570598, 0.0006503655, 0.1820315, -353629454, 1491650594, 0, 0, 0, 0
 45233566, 0.001187509, -0.006305759, -9.814144, 0.0006534439, 0.0006556577, 0.0006479651, 0.2156373, -353629440, 1491650715, 0, 0, 0, 0
 45253558, 0.002200637, 0.002100365, -9.822767, 0.0006619217, 0.0006588126, 0.000657957, 0.2156373, -353629440, 1491650715, 0, 0, 0, 0
 45273550, 0.001057727, 0.001127581, -9.816336, 0.0006589497, 0.0006629952, 0.0006558127, 0.2156373, -353629440, 1491650715, 0, 0, 0, 0
 45293542, 0.003259401, -0.001659789, -9.820816, 0.0006557142, 0.0006594521, 0.0006531936, 0.2156373, -353629440, 1491650715, 0, 0, 0, 0
 45313534, 0.001768349, -5.308642E-05, -9.820253, 0.000661226, 0.0006529355, 0.0006580681, 0.2156373, -353629440, 1491650715, 0, 0, 0, 0
 45333526, 0.2487372, 0.0005725714, -9.815786, 0.0006571113, 0.0006572231, 0.0006608674, 0.2156373, -353629440, 1491650715, 0, 0, 0, 0
 45353518, 0.7814997, -0.007276956, -9.817339, 0.0006579961, 0.0006546543, 0.0006520987, 0.2156373, -353629440, 1491650715, 0, 0, 0, 0
 45373510, 1.251342, 0.002230232, -9.816183, 0.0006582438, 0.0006622911, 0.0006528376, 0.2156373, -353629440, 1491650715, 0, 0, 0, 0
 45393502, 1.61448, 0.007058796, -9.815856, 0.0006646522, 0.0006582753, 0.0006523632, 0.2156373, -353629440, 1491650715, 0, 0, 0, 0
 45413494, 1.961311, 0.006510994, -9.817589, 0.0006601969, 0.0006612896, 0.0006534799, 0.2156373, -353629440, 1491650715, 0, 0, 0, 0
 45433486, 2.251937, -0.005854377, -9.814074, 0.0006613472, 0.000657428, 0.0006631409, -0.1120194, -353629956, 1491650023, 0, 0, 0, 0
 45453478, 2.489625, -0.01148789, -9.817015, 0.0006610487, 0.0006634609, 0.0006640196, -0.1120194, -353629956, 1491650023, 0, 0, 0, 0
 45474303, 2.682189, 0.008688094, -9.80817, 0.0006588658, 0.0006619261, 0.0006753146, -0.1120194, -353629956, 1491650023, 0, 0, 0, 0
 45494295, 2.857201, 0.01468576, -9.807135, 0.0006560796, 0.0006653407, 0.0006700265, -0.1120194, -353629956, 1491650023, 0, 0, 0, 0
 45514287, 3.024279, -0.002532213, -9.780293, 0.0006593363, 0.0006638488, 0.0006646616, -0.1120194, -353629956, 1491650023, 0, 0, 0, 0
 45534279, 3.120286, 0.02206207, -9.774834, 0.0006605171, 0.0006636694, 0.000680544, -0.1232213, -353629956, 1491650023, 0, 0, 0, 0
 45554271, 3.262127, 0.0151754, -9.767879, 0.0006648183, 0.0006629974, 0.0006828512, -0.1232213, -353629956, 1491650023, 0, 0, 0, 0
 45574263, 3.305112, -0.004713978, -9.764145, 0.0006675678, 0.0006645777, 0.0006717506, -0.1232213, -353629956, 1491650023, 0, 0, 0, 0
 45594255, 3.368787, 0.001577391, -9.747528, 0.0006638764, 0.0006628012, 0.0006504696, -0.1232213, -353629956, 1491650023, 0, 0, 0, 0
 45614247, 3.474229, 0.003835249, -9.744117, 0.0006596455, 0.0006652818, 0.0006241857, -0.1232213, -353629956, 1491650023, 0, 0, 0, 0
 45634239, 3.531066, -0.03332449, -9.731225, 0.0006658383, 0.0006686812, 0.0006234276, -0.1400242, -353629130, 1491650941, 0, 0.115, -0.012, 0
 45654231, 3.532239, -0.03011036, -9.717241, 0.0006627458, 0.0006710544, 0.0006284078, -0.1400242, -353629130, 1491650941, 0, 0.115, -0.012, 0
 45674223, 3.561071, -0.001088651, -9.721509, 0.0006631593, 0.000668938, 0.0006494604, -0.1400242, -353629130, 1491650941, 0, 0.115, -0.012, 0
 45694215, 3.613177, 0.01439391, -9.71757, 0.000664985, 0.000662364, 0.0006487689, -0.1400242, -353629130, 1491650941, 0, 0.115, -0.012, 0
 45714207, 3.58904, -0.009449026, -9.711403, 0.0006626034, 0.0006646783, 0.0006391012, -0.1400242, -353629130, 1491650941, 0, 0.115, -0.012, 0
 45734199, 3.660678, 0.01874267, -9.701238, 0.0006628039, 0.0006603809, 0.0006247839, -0.07841358, -353629130, 1491650941, 0, 0.115, -0.012, 0
 45754191, 3.664101, 0.008253965, -9.710703, 0.0006631387, 0.0006593096, 0.000615414, -0.07841358, -353629130, 1491650941, 0, 0.115, -0.012, 0
 45774183, 3.62528, 0.01019121, -9.707439, 0.0006667806, 0.0006593433, 0.0006275168, -0.07841358, -353629130, 1491650941, 0, 0.115, -0.012, 0
 45794175, 3.64729, -0.01691658, -9.700129, 0.0006665242, 0.0006665452, 0.0006457154, -0.07841358, -353629130, 1491650941, 0, 0.115, -0.012, 0
 45814167, 3.651842, -0.00131962, -9.71004, 0.0006626903, 0.000671734, 0.0006523266, -0.07841358, -353629130, 1491650941, 0, 0.115, -0.012, 0
 45834159, 3.636672, -0.005809469, -9.705997, 0.0006628907, 0.0006625847, 0.0006539539, 0.02520436, -353629424, 1491650837, 0, 0.708, -0.07300001, 0.006
 45854151, 3.620325, -0.03547185, -9.701337, 0.0006642983, 0.0006683372, 0.0006474574, 0.02520436, -353629424, 1491650837, 0, 0.708, -0.07300001, 0.006
 45874143, 3.592059, 0.009327222, -9.707138, 0.0006596887, 0.0006658501, 0.000655096, 0.02520436, -353629424, 1491650837, 0, 0.708, -0.07300001, 0.006
 45894135, 3.567581, 0.02317029, -9.708864, 0.0006677371, 0.0006663701, 0.0006397626, 0.02520436, -353629424, 1491650837, 0, 0.708, -0.07300001, 0.006
 45914127, 3.554765, -0.02432317, -9.715496, 0.000666822, 0.0006699567, 0.0006218582, 0.02520436, -353629424, 1491650837, 0, 0.708, -0.07300001, 0.006
 45934119, 3.562162, 0.01714828, -9.715784, 0.0006631774, 0.0006662387, 0.0006472854, -0.1568272, -353629424, 1491650837, 0, 0.708, -0.07300001, 0.006
 45954111, 3.533718, 0.04786792, -9.721157, 0.0006687298, 0.0006633138, 0.0006713216, -0.1568272, -353629424, 1491650837, 0, 0.708, -0.07300001, 0.006
 45974103, 3.497964, 0.002127325, -9.718673, 0.0006686345, 0.0006678154, 0.0006640043, -0.1568272, -353629424, 1491650837, 0, 0.708, -0.07300001, 0.006
