TimeUS,m00,m01,m02,m10,m11,m12,m20,m21,m22
 57373708, 0.9939295, 0.1099471, 0.003996457, -0.1099362, 0.9939346, -0.002861658, -0.004286847, 0.002404931, 0.999988
 57393700, 0.9939291, 0.1099473, 0.004065315, -0.1099361, 0.9939345, -0.002881775, -0.0043575, 0.002417355, 0.9999876
 57413692, 0.9939288, 0.1099479, 0.004136493, -0.1099364, 0.9939345, -0.00290237, -0.004430512, 0.002429998, 0.9999873
 57433684, 0.9939284, 0.109948, 0.004209052, -0.1099363, 0.9939344, -0.002923541, -0.00450496, 0.002443064, 0.9999869
 57453676, 0.9939283, 0.1099476, 0.00425616, -0.1099356, 0.9939344, -0.002942742, -0.004553891, 0.002456971, 0.9999866
 57473668, 0.9939281, 0.1099469, 0.0043046, -0.1099347, 0.9939345, -0.00296202, -0.004604156, 0.002470809, 0.9999864
 57493660, 0.9939279, 0.1099469, 0.00435498, -0.1099346, 0.9939344, -0.002981314, -0.004656351, 0.002484448, 0.9999861
 57513652, 0.9939277, 0.1099472, 0.004404956, -0.1099347, 0.9939343, -0.003000917, -0.00470818, 0.002498437, 0.9999858
 57533644, 0.9939277, 0.1099455, 0.004453432, -0.1099328, 0.9939345, -0.003020611, -0.004758522, 0.002512691, 0.9999855
 57553636, 0.9939275, 0.1099446, 0.004502763, -0.1099316, 0.9939346, -0.00304016, -0.0048097, 0.002526703, 0.9999852
 57573628, 0.9939274, 0.1099442, 0.004551492, -0.109931, 0.9939346, -0.003059646, -0.004860275, 0.002540716, 0.999985
 57593620, 0.9939272, 0.1099441, 0.004598156, -0.1099307, 0.9939346, -0.003078465, -0.004908724, 0.002554292, 0.9999847
 57613612, 0.9939271, 0.109943, 0.004643685, -0.1099293, 0.9939346, -0.003097512, -0.004956068, 0.002568224, 0.9999844
 57633604, 0.9939272, 0.1099396, 0.00469111, -0.1099258, 0.9939349, -0.003117083, -0.005005349, 0.00258248, 0.9999842
 57653596, 0.9939275, 0.1099368, 0.004696772, -0.1099228, 0.9939352, -0.003131802, -0.005012588, 0.002596502, 0.9999841
 57673588, 0.9939276, 0.1099359, 0.004703137, -0.1099219, 0.9939353, -0.003146475, -0.005020524, 0.002610391, 0.9999841
 57693580, 0.9939277, 0.1099351, 0.004707969, -0.109921, 0.9939353, -0.003160749, -0.005026894, 0.002624051, 0.9999839
 57713572, 0.9939279, 0.1099325, 0.004712175, -0.1099183, 0.9939356, -0.003175484, -0.005032687, 0.002638247, 0.9999839
 57733564, 0.9939283, 0.1099289, 0.004716595, -0.1099146, 0.9939359, -0.003190601, -0.005038732, 0.002652806, 0.9999838
 57753556, 0.9939285, 0.1099268, 0.004718505, -0.1099124, 0.9939361, -0.003204903, -0.005042197, 0.002666822, 0.9999838
 57773548, 0.9939287, 0.1099247, 0.004720129, -0.1099103, 0.9939363, -0.003219296, -0.005045387, 0.002680961, 0.9999837
 57793540, 0.993929, 0.1099224, 0.004721471, -0.1099079, 0.9939365, -0.003233088, -0.005048231, 0.002694533, 0.9999837
 57813532, 0.9939291, 0.1099208, 0.004724367, -0.1099062, 0.9939367, -0.003247446, -0.005052683, 0.002708495, 0.9999836
 57833524, 0.9939292, 0.1099199, 0.004727432, -0.1099052, 0.9939367, -0.003262373, -0.005057367, 0.002722998, 0.9999835
 57853516, 0.9939295, 0.1099182, 0.004707938, -0.1099035, 0.993937, -0.003279514, -0.005039871, 0.002742186, 0.9999835
 57873508, 0.9939298, 0.1099163, 0.004688369, -0.1099016, 0.993937, -0.003296679, -0.005022302, 0.002761408, 0.9999835
 57893500, 0.99393, 0.1099156, 0.004667439, -0.1099008, 0.9939371, -0.003313352, -0.00500333, 0.002780285, 0.9999837
 57913492, 0.9939303, 0.1099136, 0.004647738, -0.1098988, 0.9939373, -0.003330689, -0.004985648, 0.002799692, 0.9999837
 57933484, 0.9939306, 0.1099116, 0.004628424, -0.1098968, 0.9939374, -0.003348479, -0.0049684, 0.002819506, 0.9999837
 57953476, 0.9939309, 0.1099106, 0.004609523, -0.1098958, 0.9939375, -0.003365724, -0.004951506, 0.002838729, 0.9999837
 57974301, 0.9939308, 0.1099112, 0.004587444, -0.1098963, 0.9939374, -0.003383247, -0.004931489, 0.002858571, 0.9999838
 57994293, 0.993931, 0.1099113, 0.004568197, -0.1098964, 0.9939373, -0.003400533, -0.004914258, 0.002877866, 0.9999838
 58014285, 0.9939311, 0.1099108, 0.004549209, -0.1098959, 0.9939372, -0.003418028, -0.004897306, 0.002897345, 0.9999838
 58034277, 0.9939312, 0.1099104, 0.004531053, -0.1098954, 0.9939373, -0.003435434, -0.004881172, 0.002916643, 0.9999838
 58054269, 0.9939313, 0.1099106, 0.004515571, -0.1098956, 0.9939371, -0.003444666, -0.004866799, 0.00292752, 0.9999839
 58074261, 0.9939314, 0.1099101, 0.004500769, -0.1098951, 0.9939373, -0.003453538, -0.00485306, 0.002937967, 0.9999839
 58094253, 0.9939314, 0.1099111, 0.004485567, -0.1098961, 0.9939371, -0.003462335, -0.00483892, 0.002948377, 0.999984
 58114245, 0.9939312, 0.1099126, 0.004472044, -0.1098976, 0.9939368, -0.003471131, -0.00482645, 0.002958599, 0.999984
 58134237, 0.9939311, 0.1099149, 0.004459981, -0.1098999, 0.9939367, -0.00347992, -0.004815434, 0.002968648, 0.999984
 58154229, 0.9939309, 0.1099169, 0.004449686, -0.1099018, 0.9939363, -0.003489635, -0.004806275, 0.002979427, 0.999984
 58174221, 0.9939308, 0.1099185, 0.004439203, -0.1099035, 0.9939362, -0.003499021, -0.004796891, 0.002989901, 0.999984
 58194213, 0.9939323, 0.1099027, 0.004482628, -0.1098877, 0.9939379, -0.003473106, -0.004837158, 0.002959447, 0.999984
 58214205, 0.9939402, 0.1098046, 0.005087044, -0.1097887, 0.9939495, -0.003315453, -0.005420317, 0.002736862, 0.9999816
 58234197, 0.9939522, 0.1096179, 0.006549927, -0.1096004, 0.9939712, -0.002987369, -0.006837908, 0.002251428, 0.9999741
 58254189, 0.9939815, 0.109217, 0.008511854, -0.1091986, 0.9940165, -0.002603068, -0.008745224, 0.001657919, 0.9999604
 58274181, 0.9940029, 0.1088298, 0.01069535, -0.1088105, 0.9940597, -0.002376466, -0.01089045, 0.001198448, 0.99994
 58294173, 0.9940129, 0.1084857, 0.01300816, -0.1084646, 0.9940977, -0.002322447, -0.01318333, 0.0008976174, 0.9999127
 58314165, 0.9940231, 0.108089, 0.01532057, -0.108066, 0.994141, -0.002321624, -0.01548175, 0.0006521143, 0.99988
 58334157, 0.9940186, 0.107737, 0.01787896, -0.1077156, 0.9941794, -0.002159731, -0.01800757, 0.0002209703, 0.9998379
 58354149, 0.9939924, 0.107518, 0.02046586, -0.1074994, 0.9942031, -0.002012037, -0.02056355, -0.0002001182, 0.9997885
 58374141, 0.9939387, 0.1074377, 0.02329765, -0.1074212, 0.9942117, -0.001965923, -0.02337401, -0.000548653, 0.9997267
 58394133, 0.9938639, 0.1074368, 0.0263038, -0.1074274, 0.9942114, -0.001774366, -0.02634216, -0.001062269, 0.9996525
 58414125, 0.9937764, 0.1074302, 0.02945053, -0.1074286, 0.9942115, -0.001640568, -0.0294563, -0.001533471, 0.9995649
