TimeUS,m00,m01,m02,m10,m11,m12,m20,m21,m22
 81933880, 0.9939135, -0.01717436, -0.1088163, 0.01665506, 0.9998452, -0.005679477, 0.108897, 0.003832566, 0.9940457
 81953872, 0.9939227, -0.01720194, -0.1087277, 0.01667928, 0.9998446, -0.005714771, 0.1088091, 0.003866542, 0.9940552
 81973864, 0.9939289, -0.01722577, -0.1086683, 0.01670995, 0.9998444, -0.005655606, 0.1087489, 0.003805427, 0.994062
 81993856, 0.9939432, -0.01728143, -0.1085278, 0.01676808, 0.9998435, -0.005641005, 0.1086083, 0.003787036, 0.9940775
 82013848, 0.9939542, -0.01740302, -0.1084073, 0.01688846, 0.9998414, -0.005662867, 0.1084887, 0.003797797, 0.9940905
 82033840, 0.9939519, -0.01755668, -0.1084039, 0.01703899, 0.9998387, -0.005700121, 0.1084864, 0.003818553, 0.9940906
 82053832, 0.9939497, -0.01762154, -0.1084139, 0.01709695, 0.9998373, -0.005766446, 0.1084978, 0.00387801, 0.9940891
 82073824, 0.9939483, -0.01766452, -0.1084203, 0.01713653, 0.9998364, -0.005799764, 0.108505, 0.003906718, 0.9940883
 82093816, 0.9939531, -0.01763637, -0.1083797, 0.01709776, 0.9998365, -0.005896934, 0.108466, 0.004008225, 0.994092
 82113808, 0.993967, -0.01761003, -0.1082575, 0.01705226, 0.9998362, -0.006075896, 0.1083467, 0.004193204, 0.9941044
 82133800, 0.9939838, -0.017525, -0.1081159, 0.01694813, 0.9998368, -0.006252281, 0.1082078, 0.004382304, 0.9941187
 82153792, 0.9939955, -0.01745869, -0.1080188, 0.01685925, 0.9998371, -0.00646021, 0.108114, 0.004600303, 0.9941279
 82173784, 0.9939944, -0.01744462, -0.1080323, 0.01681563, 0.999836, -0.006730576, 0.108132, 0.004873523, 0.9941247
 82193776, 0.9939831, -0.01744282, -0.1081357, 0.01678772, 0.9998348, -0.006965598, 0.1082394, 0.005108335, 0.9941117
 82213768, 0.9939699, -0.01742741, -0.1082598, 0.01675017, 0.9998341, -0.007161999, 0.1083666, 0.005305442, 0.9940968
 82233760, 0.9939568, -0.01739294, -0.1083857, 0.01669967, 0.999834, -0.007300863, 0.1084947, 0.005446737, 0.9940822
 82253752, 0.9939328, -0.01741171, -0.1086014, 0.01671214, 0.9998333, -0.007348542, 0.1087113, 0.005488996, 0.9940583
 82273744, 0.9939174, -0.01738939, -0.1087472, 0.01669137, 0.9998339, -0.007325835, 0.1088565, 0.005466134, 0.9940425
 82293736, 0.993915, -0.01721621, -0.1087957, 0.01652917, 0.9998374, -0.00721366, 0.1089023, 0.005371462, 0.994038
 82313728, 0.99392, -0.01705019, -0.1087772, 0.01638679, 0.9998413, -0.006989732, 0.1088791, 0.005164726, 0.9940416
 82333720, 0.9939245, -0.01693809, -0.1087527, 0.01628884, 0.9998438, -0.006855626, 0.1088519, 0.005042519, 0.9940452
 82353712, 0.9939375, -0.01685757, -0.1086466, 0.01622452, 0.9998459, -0.006708146, 0.108743, 0.004904738, 0.9940578
 82373704, 0.9939474, -0.01688605, -0.1085515, 0.01626599, 0.999846, -0.006595104, 0.1086462, 0.004789488, 0.994069
 82393696, 0.9939576, -0.01694298, -0.1084496, 0.0163361, 0.9998456, -0.006481961, 0.1085426, 0.004671151, 0.9940809
 82413688, 0.9939698, -0.01702614, -0.1083246, 0.01643153, 0.9998447, -0.006379419, 0.1084164, 0.00456101, 0.9940951
 82433680, 0.9939904, -0.01718692, -0.1081092, 0.01660641, 0.9998425, -0.006267705, 0.1081999, 0.004434732, 0.9941193
 82453672, 0.9940203, -0.01738475, -0.1078031, 0.01682461, 0.9998399, -0.006103399, 0.1078919, 0.004253158, 0.9941536
 82473664, 0.994059, -0.01756985, -0.107415, 0.01703348, 0.9998375, -0.005909, 0.1075013, 0.004044245, 0.9941967
 82493656, 0.9940953, -0.01765156, -0.1070663, 0.01713869, 0.9998369, -0.005708481, 0.1071496, 0.003839797, 0.9942355
 82513648, 0.9941351, -0.01765404, -0.1066948, 0.01716632, 0.9998376, -0.005487876, 0.1067744, 0.003624132, 0.9942766
 82533640, 0.9941703, -0.01767276, -0.1063627, 0.01720198, 0.9998378, -0.005342104, 0.1064399, 0.003481312, 0.9943131
 82553632, 0.9941952, -0.01766147, -0.1061322, 0.01720445, 0.9998384, -0.005220257, 0.1062073, 0.003364008, 0.9943384
 82573624, 0.9942151, -0.01761346, -0.1059532, 0.01717607, 0.9998398, -0.005039337, 0.106025, 0.003190326, 0.9943584
 82593616, 0.9942213, -0.01751603, -0.105912, 0.01709541, 0.999842, -0.004878076, 0.1059807, 0.003039276, 0.9943635
 82613608, 0.9942284, -0.01743225, -0.1058591, 0.01703014, 0.999844, -0.00470141, 0.1059245, 0.002871481, 0.99437
 82633600, 0.9942283, -0.01742018, -0.1058617, 0.01703833, 0.9998447, -0.004510435, 0.1059238, 0.002680695, 0.9943706
 82653592, 0.9942309, -0.01735472, -0.1058483, 0.01698369, 0.9998461, -0.004405685, 0.1059085, 0.002582573, 0.9943726
 82673584, 0.9942395, -0.01725579, -0.1057832, 0.01689254, 0.999848, -0.004329065, 0.1058418, 0.002517181, 0.9943799
 82693576, 0.9942395, -0.01717793, -0.1057958, 0.01681761, 0.9998493, -0.004297052, 0.1058537, 0.002493065, 0.9943786
 82713568, 0.9942394, -0.01711913, -0.1058066, 0.01675175, 0.9998503, -0.004360034, 0.1058654, 0.002562471, 0.9943773
 82733560, 0.9942412, -0.01711626, -0.1057899, 0.01674412, 0.9998501, -0.004404886, 0.1058494, 0.002608161, 0.9943787
 82753552, 0.9942434, -0.01706273, -0.1057781, 0.0166921, 0.999851, -0.004388317, 0.1058372, 0.002597397, 0.9943802
 82773544, 0.9942396, -0.01703589, -0.1058178, 0.01667076, 0.9998516, -0.004334131, 0.105876, 0.002545101, 0.9943761
 82793536, 0.9942399, -0.01709259, -0.1058065, 0.01672398, 0.9998507, -0.004370154, 0.1058654, 0.002575476, 0.9943773
 82813528, 0.9942433, -0.01710463, -0.1057728, 0.0167194, 0.99985, -0.004527741, 0.1058344, 0.002733218, 0.9943801
