TimeUS,gprLat,gprLng,gprAlt,gprGC,gpGC,gprN,gprE,gprD
 55914292, -353629379, 1491650851, 1013557694, 0, 0, 0, 0, 0
 55934284, -353629379, 1491650851, 1013642750, 0, 0, 0, 0, 0
 55954276, -353629379, 1491650851, 1013766750, 0, 0, 0, 0, 0
 55974268, -353629379, 1491650851, 1013800281, 0, 0, 0, 0, 0
 55994260, -353629379, 1491650851, 1013857532, 0, 0, 0, 0, 0
 56014252, -353629379, 1491650851, 1014028310, 0, 0, 0, 0, 0
 56034244, -353629378, 1491650854, 1014170763, 0, 0, 0, 0, 0
 56054236, -353629378, 1491650854, 1014246541, 0, 0, 0, 0, 0
 56074228, -353629378, 1491650854, 1014421047, 0, 0, 0, 0, 0
 56094220, -353629378, 1491650854, 1014545982, 0, 0, 0, 0, 0
 56114212, -353629378, 1491650854, 1013731787, 0, 0, 0, 0, 0
 56134204, -353629378, 1491650854, 1013894989, 0, 0, 0, 0, 0
 56154196, -353629378, 1491650854, 1014064399, 0, 0, 0, 0, 0
 56174188, -353629378, 1491650854, 1014139951, 0, 0, 0, 0, 0
 56194180, -353629378, 1491650854, 1014401891, 0, 0, 0, 0, 0
 56214172, -353629378, 1491650854, 1014643636, 0, 0, 0, 0, 0
 56234164, -353629378, 1491650852, 1014878468, 0, 0, 0, 0, 0
 56254156, -353629378, 1491650852, 1014971849, 0, 0, 0, 0, 0
 56274148, -353629378, 1491650852, 1014990807, 0, 0, 0, 0, 0
 56294140, -353629378, 1491650852, 1015041534, 0, 0, 0, 0, 0
 56314132, -353629378, 1491650852, 1013772197, 0, 0, 0, 0, 0
 56334124, -353629378, 1491650852, 1013869043, 0, 0, 0, 0, 0
 56354116, -353629378, 1491650852, 1014102764, 0, 0, 0, 0, 0
 56374108, -353629378, 1491650852, 1014244805, 0, 0, 0, 0, 0
 56394100, -353629378, 1491650852, 1014279622, 0, 0, 0, 0, 0
 56414092, -353629378, 1491650852, 1014297616, 0, 0, 0, 0, 0
 56434084, -353629379, 1491650849, 1014036517, 353.9108, 353.9108, 0.009000001, -0.001, 0
 56454076, -353629379, 1491650849, 1013646033, 353.9108, 353.9108, 0.009000001, -0.001, 0
 56474068, -353629379, 1491650849, 1012949560, 353.9108, 353.9108, 0.009000001, -0.001, 0
 56494060, -353629379, 1491650849, 1011834606, 353.9108, 353.9108, 0.009000001, -0.001, 0
 56514052, -353629379, 1491650849, 1009059699, 353.9108, 353.9108, 0.009000001, -0.001, 0
 56534044, -353629379, 1491650849, 1007232941, 353.9108, 353.9108, 0.009000001, -0.001, 0
 56554036, -353629379, 1491650849, 1003348806, 353.9108, 353.9108, 0.009000001, -0.001, 0
 56574028, -353629379, 1491650849, 997403046, 353.9108, 353.9108, 0.009000001, -0.001, 0
 56594020, -353629379, 1491650849, 979079561, 353.9108, 353.9108, 0.009000001, -0.001, 0
 56614012, -353629379, 1491650849, -1153845728, 353.9108, 353.9108, 0.009000001, -0.001, 0
 56634004, -353629377, 1491650851, -1143480910, 353.9429, 353.9429, 0.248, -0.026, 0
 56653996, -353629377, 1491650851, -1137452112, 353.9429, 353.9429, 0.248, -0.026, 0
 56673988, -353629377, 1491650851, -1132394658, 353.9429, 353.9429, 0.248, -0.026, 0
 56693980, -353629377, 1491650851, -1129243041, 353.9429, 353.9429, 0.248, -0.026, 0
