TimeUS,aF,aR,aD,gyR,gyP,gyY,bAlt,gpLat,gpLng,gpAlt,gpN,gpE,gpD
 55793507, 4.309675, 0.002152767, -9.725151, 0.0008093062, 0.0008072266, 0.0008448617, 0.03651446, -353629443, 1491650639, 0, 0.009000001, -0.001, 0
 55813499, 4.558235, 0.03187689, -9.726559, 0.0008069192, 0.0008116634, 0.0008513181, 0.03651446, -353629443, 1491650639, 0, 0.009000001, -0.001, 0
 55833491, 4.808536, -0.001404683, -9.720316, 0.0008071635, 0.0008127427, 0.0008452084, -0.09549935, -353629672, 1491650773, 0, 0.248, -0.025, 0
 55853483, 5.015992, 0.01012137, -9.714237, 0.0008131248, 0.0008131314, 0.0008290072, -0.09549935, -353629672, 1491650773, 0, 0.248, -0.025, 0
 55873475, 5.308867, -0.0109985, -9.700655, 0.0008130905, 0.0008093671, 0.0008341322, -0.09549935, -353629672, 1491650773, 0, 0.248, -0.025, 0
 55894300, 5.505722, 0.01605643, -9.703559, 0.0008106857, 0.0008113105, 0.0008004995, -0.09549935, -353629672, 1491650773, 0, 0.248, -0.025, 0
 55914292, 5.711306, -0.02610897, -9.692356, 0.0008147258, 0.000812979, 0.0008253581, -0.09549935, -353629672, 1491650773, 0, 0.248, -0.025, 0
 55934284, 5.942509, 0.04533613, -9.684545, 0.0008157559, 0.000812834, 0.0008649713, 0.1376314, -353629672, 1491650773, 0, 0.248, -0.025, 0
 55954276, 6.174327, -0.02672977, -9.6802, 0.0008131593, 0.0008146642, 0.0008654338, 0.1376314, -353629672, 1491650773, 0, 0.248, -0.025, 0
 55974268, 6.417947, 0.0009258083, -9.669942, 0.0008155289, 0.0008097164, 0.0008958877, 0.1376314, -353629672, 1491650773, 0, 0.248, -0.025, 0
 55994260, 6.695767, 0.0449922, -9.669495, 0.000810467, 0.0008175187, 0.0009011582, 0.1376314, -353629672, 1491650773, 0, 0.248, -0.025, 0
 56014252, 6.91458, -0.006915062, -9.662037, 0.00081384, 0.0008161791, 0.0008776468, 0.1376314, -353629672, 1491650773, 0, 0.248, -0.025, 0
 56034244, 7.153761, -0.03116908, -9.659456, 0.0008149422, 0.0008142004, 0.000844116, -0.07864653, -353629319, 1491651334, 0, 0.934, -0.098, 0.012
 56054236, 7.359363, -0.0265936, -9.65843, 0.0008162991, 0.0008120331, 0.0008454582, -0.07864653, -353629319, 1491651334, 0, 0.934, -0.098, 0.012
 56074228, 7.499397, 0.04799308, -9.643929, 0.0008145963, 0.0008180807, 0.0009138999, -0.07864653, -353629319, 1491651334, 0, 0.934, -0.098, 0.012
