Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.4022038567493113,0.0
2,0.36187845303867405,0.0
3,0.33518005540166207,0.0
4,0.3111111111111111,0.0
5,0.28969359331476324,0.0
6,0.2737430167597765,0.0
7,0.25770308123249297,0.0
8,0.24157303370786518,0.0
9,0.22816901408450704,0.0
10,0.21468926553672316,0.0
11,0.20113314447592068,0.0
12,0.1875,0.0
13,0.1737891737891738,0.0
14,0.16285714285714287,0.0
15,0.15472779369627507,0.0
16,0.14655172413793102,0.0
17,0.14121037463976946,0.0
18,0.13583815028901733,0.0
19,0.13043478260869565,0.0
20,0.125,0.0
21,0.119533527696793,0.0
22,0.11403508771929824,0.0
23,0.10850439882697947,0.0
24,0.10294117647058823,0.0
25,0.09734513274336283,0.0
26,0.09171597633136094,0.0
27,0.08605341246290801,0.0
28,0.08035714285714286,0.0
29,0.07164179104477612,0.0
30,0.06287425149700598,0.0
