THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,535,1.0,0.9981308411214953,0.7327102803738318
2,534,0.99812734082397,0.9943820224719101,0.7078651685393258
3,533,0.9962476547842402,0.9887429643527205,0.6829268292682927
4,532,0.9943609022556391,0.981203007518797,0.6578947368421053
5,531,0.992467043314501,0.975517890772128,0.632768361581921
6,530,0.9905660377358491,0.969811320754717,0.6113207547169811
7,529,0.9867674858223062,0.9621928166351607,0.5916824196597353
8,528,0.9772727272727273,0.946969696969697,0.5738636363636364
9,527,0.967741935483871,0.9316888045540797,0.5559772296015181
10,526,0.9562737642585551,0.9163498098859315,0.5380228136882129
11,525,0.9447619047619048,0.900952380952381,0.52
12,524,0.933206106870229,0.8854961832061069,0.5038167938931297
13,523,0.9235181644359465,0.8680688336520076,0.4894837476099426
14,522,0.9118773946360154,0.8544061302681992,0.47509578544061304
15,521,0.9001919385796545,0.8406909788867563,0.46065259117082535
16,520,0.8865384615384615,0.825,0.4480769230769231
17,519,0.8728323699421965,0.8092485549132948,0.43545279383429675
18,518,0.859073359073359,0.7934362934362934,0.4247104247104247
19,517,0.8452611218568665,0.7775628626692457,0.41392649903288203
20,516,0.8313953488372093,0.7616279069767442,0.40310077519379844
21,515,0.8174757281553398,0.7456310679611651,0.39223300970873787
22,514,0.8035019455252919,0.7295719844357976,0.38132295719844356
23,513,0.7894736842105263,0.7134502923976608,0.37037037037037035
24,512,0.775390625,0.697265625,0.361328125
25,511,0.7592954990215264,0.6810176125244618,0.3522504892367906
26,510,0.7411764705882353,0.6627450980392157,0.3431372549019608
27,509,0.7229862475442044,0.6444007858546169,0.33398821218074654
28,508,0.7066929133858267,0.6279527559055118,0.3248031496062992
29,507,0.6903353057199211,0.611439842209073,0.3155818540433925
