TimeUS,m00,m01,m02,m10,m11,m12,m20,m21,m22
 162354665, 0.9691117, -0.1787205, 0.1699457, 0.1873533, 0.9816304, -0.0360636, -0.1603785, 0.06678955, 0.9847933
 162356329, 0.9693031, -0.1786592, 0.1689157, 0.1874077, 0.9815768, -0.03722101, -0.1591538, 0.06773454, 0.9849274
 162358774, 0.9691697, -0.1784544, 0.1698947, 0.1873922, 0.9815507, -0.03798163, -0.1599823, 0.06864759, 0.9847301
 162361329, 0.9686369, -0.1774243, 0.1739635, 0.1871459, 0.9814746, -0.04103687, -0.1634598, 0.07230639, 0.9838967
 162364114, 0.9683923, -0.1767362, 0.1760137, 0.187049, 0.9813781, -0.04370005, -0.1650126, 0.07524198, 0.9834173
 162366291, 0.9685487, -0.1761193, 0.1757709, 0.1869, 0.9812703, -0.04665784, -0.1642614, 0.07804198, 0.9833248
 162368802, 0.9687548, -0.1759603, 0.174792, 0.186888, 0.9812064, -0.04803008, -0.1630556, 0.0791959, 0.9834333
 162371342, 0.9685904, -0.1755508, 0.1761096, 0.1870298, 0.9810441, -0.05071956, -0.1638674, 0.08206423, 0.9830631
 162374081, 0.9682704, -0.1747997, 0.1785995, 0.1869892, 0.9808914, -0.05373264, -0.1657943, 0.08542391, 0.9824536
 162376325, 0.9679211, -0.1735907, 0.1816451, 0.1868354, 0.9806534, -0.05840863, -0.1679916, 0.09047267, 0.9816279
 162378773, 0.9680306, -0.1730926, 0.1815375, 0.1867314, 0.980527, -0.06081225, -0.1674763, 0.09276688, 0.9815019
 162381330, 0.9684013, -0.1727587, 0.1798709, 0.1867701, 0.9803174, -0.06399043, -0.1652756, 0.09556291, 0.9816067
 162384077, 0.9683675, -0.1722536, 0.1805362, 0.1867667, 0.9801435, -0.06661031, -0.1654775, 0.09822138, 0.9813102
 162386323, 0.9678797, -0.1707999, 0.1844895, 0.1865498, 0.9798361, -0.07155847, -0.1685472, 0.1036765, 0.980226
 162388822, 0.9676788, -0.1698349, 0.1864235, 0.1864365, 0.9795742, -0.07533816, -0.1698206, 0.1076593, 0.9795767
 162391315, 0.9679654, -0.1689854, 0.1857064, 0.186334, 0.9792081, -0.08019653, -0.1682931, 0.1122309, 0.9793271
 162394347, 0.9682456, -0.1686443, 0.1845528, 0.1863237, 0.9789811, -0.08294408, -0.1666856, 0.1146968, 0.9793164
 162396302, 0.9682521, -0.1677941, 0.1852914, 0.1863028, 0.9786021, -0.08734588, -0.1666704, 0.1190931, 0.9787941
 162398785, 0.9680053, -0.1667805, 0.1874837, 0.1861979, 0.9782782, -0.09111615, -0.1682149, 0.12311, 0.9780326
 162401306, 0.967774, -0.1652429, 0.1900221, 0.1860814, 0.9776836, -0.09751223, -0.1696682, 0.1297294, 0.9769253
 162404110, 0.9679754, -0.1646021, 0.1895514, 0.1860498, 0.97729, -0.1014374, -0.1685499, 0.133455, 0.976617
 162406311, 0.9684424, -0.1639257, 0.187744, 0.1860006, 0.9767479, -0.1066175, -0.1659011, 0.1381734, 0.9764143
 162408785, 0.9685166, -0.1631514, 0.1880351, 0.1858027, 0.9764327, -0.1098018, -0.1656893, 0.1412823, 0.9760054
 162411315, 0.9683369, -0.1614281, 0.1904329, 0.1855313, 0.9757325, -0.1162939, -0.1670384, 0.1479429, 0.9747878
 162414690, 0.9682982, -0.1604258, 0.1914744, 0.1855205, 0.9751407, -0.1211727, -0.1672752, 0.1528537, 0.9739892
 162416328, 0.9686272, -0.1593222, 0.1907294, 0.1853944, 0.9743398, -0.1276366, -0.1654999, 0.1589925, 0.9733094
 162418813, 0.9689461, -0.1588189, 0.1895259, 0.1853112, 0.9738662, -0.1313184, -0.163717, 0.1623617, 0.9730548
 162421291, 0.9691597, -0.1575397, 0.1895007, 0.184982, 0.9731404, -0.1370388, -0.1628218, 0.1678667, 0.9722705
 162424107, 0.9691874, -0.1564874, 0.1902302, 0.1848727, 0.9724603, -0.141926, -0.1627817, 0.1727213, 0.9714265
 162426271, 0.9693927, -0.1549406, 0.19045, 0.1847083, 0.9712821, -0.1499807, -0.1617426, 0.180568, 0.9701725
 162428853, 0.9696957, -0.1542225, 0.1894877, 0.1845462, 0.9706151, -0.1544318, -0.1601027, 0.1847211, 0.9696624
 162431314, 0.9700581, -0.1530886, 0.1885504, 0.1842069, 0.9697151, -0.1603765, -0.1582883, 0.1903068, 0.9688799
 162434107, 0.9701947, -0.1522836, 0.1884994, 0.1840529, 0.9690657, -0.1644269, -0.1576288, 0.19422, 0.9682107
 162436312, 0.9704478, -0.1507905, 0.1883965, 0.1838574, 0.9676919, -0.1725368, -0.1562929, 0.2020761, 0.9668185
 162438815, 0.9707685, -0.1498235, 0.1875138, 0.1836405, 0.9666808, -0.178338, -0.1545468, 0.2075601, 0.965937
 162441306, 0.9711763, -0.1484483, 0.1864932, 0.1832001, 0.9654027, -0.185568, -0.1524938, 0.2143849, 0.9647719
 162444298, 0.9713608, -0.1475522, 0.1862431, 0.1828382, 0.964752, -0.1892719, -0.151751, 0.2179037, 0.9641005
 162446317, 0.9716751, -0.1462559, 0.1856255, 0.1824994, 0.9634274, -0.1962187, -0.1501385, 0.2245373, 0.9628299
 162448812, 0.9720193, -0.1453668, 0.1845188, 0.1822819, 0.9622372, -0.2021704, -0.148162, 0.2301479, 0.9618108
 162451285, 0.972515, -0.1439881, 0.1829811, 0.1818664, 0.9604622, -0.2108013, -0.1453935, 0.2382855, 0.9602504
 162454111, 0.9726875, -0.143025, 0.1828193, 0.1815054, 0.9596065, -0.2149681, -0.1446887, 0.2422795, 0.959357
 162456308, 0.9729736, -0.1415514, 0.182444, 0.1809054, 0.9582864, -0.2212703, -0.1435124, 0.2482953, 0.9579946
 162458838, 0.9732594, -0.1406837, 0.181588, 0.1805915, 0.9571532, -0.2263726, -0.1419606, 0.2531124, 0.9569646
 162461353, 0.9737628, -0.1393384, 0.1799186, 0.1801143, 0.9551328, -0.2351173, -0.1390853, 0.2613544, 0.9551697
 162464569, 0.9739602, -0.1384433, 0.1795405, 0.1798053, 0.954042, -0.2397373, -0.1380991, 0.2657769, 0.9540918
 162466337, 0.9741989, -0.1371296, 0.1792543, 0.1793261, 0.9525694, -0.2458734, -0.1370356, 0.2716746, 0.9525829
 162468793, 0.9744222, -0.1363693, 0.178619, 0.1790601, 0.9514273, -0.2504471, -0.1357897, 0.2760248, 0.9515101
 162471294, 0.9748039, -0.1350901, 0.1775054, 0.1786322, 0.949355, -0.2584874, -0.1335965, 0.2836827, 0.9495663
