Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.5206611570247934,0.0
2,0.49171270718232046,0.0
3,0.46814404432132967,0.0
4,0.4444444444444444,0.0
5,0.42618384401114207,0.0
6,0.4134078212290503,0.0
7,0.4005602240896359,0.0
8,0.3904494382022472,0.0
9,0.38028169014084506,0.0
10,0.3700564971751412,0.0
11,0.3597733711048159,0.0
12,0.3494318181818182,0.0
13,0.33903133903133903,0.0
14,0.32857142857142857,0.0
15,0.31805157593123207,0.0
16,0.3074712643678161,0.0
17,0.2968299711815562,0.0
18,0.2832369942196532,0.0
19,0.26956521739130435,0.0
20,0.2558139534883721,0.0
21,0.24489795918367346,0.0
22,0.23391812865497075,0.0
23,0.22287390029325513,0.0
24,0.21176470588235294,0.0
25,0.20058997050147492,0.0
26,0.1893491124260355,0.0
27,0.18100890207715134,0.0
28,0.17261904761904762,0.0
29,0.16417910447761194,0.0
30,0.15568862275449102,0.0
