Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.4462809917355372,0.0
2,0.40607734806629836,0.0
3,0.37950138504155123,0.0
4,0.35833333333333334,0.0
5,0.3426183844011142,0.0
6,0.3268156424581006,0.0
7,0.31092436974789917,0.0
8,0.2949438202247191,0.0
9,0.28169014084507044,0.0
10,0.268361581920904,0.0
11,0.254957507082153,0.0
12,0.24147727272727273,0.0
13,0.22792022792022792,0.0
14,0.21428571428571427,0.0
15,0.1977077363896848,0.0
16,0.1867816091954023,0.0
17,0.1786743515850144,0.0
18,0.17052023121387283,0.0
19,0.16231884057971013,0.0
20,0.15406976744186046,0.0
21,0.14868804664723032,0.0
22,0.14327485380116958,0.0
23,0.1378299120234604,0.0
24,0.1323529411764706,0.0
25,0.12684365781710916,0.0
26,0.12130177514792899,0.0
27,0.11572700296735905,0.0
28,0.11011904761904762,0.0
29,0.1044776119402985,0.0
30,0.09580838323353294,0.0
