Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.008264462809917356,0.7162534435261708,0.29201101928374656
2,0.0027624309392265192,0.6740331491712708,0.15469613259668508
3,0.0,0.6426592797783933,0.09141274238227147
4,0.0,0.6166666666666667,0.06388888888888888
5,0.0,0.5905292479108635,0.04456824512534819
6,0.0,0.5642458100558659,0.036312849162011177
7,0.0,0.5406162464985994,0.03081232492997199
8,0.0,0.5168539325842697,0.025280898876404494
9,0.0,0.49577464788732395,0.01971830985915493
10,0.0,0.4745762711864407,0.014124293785310734
11,0.0,0.45609065155807366,0.0113314447592068
12,0.0,0.4403409090909091,0.008522727272727272
13,0.0,0.42450142450142453,0.005698005698005698
14,0.0,0.4114285714285714,0.002857142857142857
15,0.0,0.3982808022922636,0.0
16,0.0,0.3850574712643678,0.0
17,0.0,0.3746397694524496,0.0
18,0.0,0.36416184971098264,0.0
19,0.0,0.3536231884057971,0.0
20,0.0,0.3430232558139535,0.0
21,0.0,0.3323615160349854,0.0
22,0.0,0.3216374269005848,0.0
23,0.0,0.31085043988269795,0.0
24,0.0,0.3,0.0
25,0.0,0.2890855457227139,0.0
26,0.0,0.2781065088757396,0.0
27,0.0,0.26706231454005935,0.0
28,0.0,0.25595238095238093,0.0
29,0.0,0.24477611940298508,0.0
30,0.0,0.23353293413173654,0.0
