Threshold,GPSOF(FPR),GPSMAG(FPR)
1,0.2871287128712871,0.0033003300330033004
2,0.18543046357615894,0.0
3,0.12956810631229235,0.0
4,0.09666666666666666,0.0
5,0.07357859531772576,0.0
6,0.053691275167785234,0.0
7,0.04040404040404041,0.0
8,0.02702702702702703,0.0
9,0.023728813559322035,0.0
10,0.02040816326530612,0.0
11,0.017064846416382253,0.0
12,0.0136986301369863,0.0
13,0.010309278350515464,0.0
14,0.006896551724137931,0.0
15,0.0034602076124567475,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
