Threshold,ACCOF(FPR),GPSOF(FPR),ACCGPS(FPR)
1,0.7029702970297029,0.26732673267326734,0.013201320132013201
2,0.16887417218543047,0.18543046357615894,0.0
3,0.09302325581395349,0.12292358803986711,0.0
4,0.043333333333333335,0.08666666666666667,0.0
5,0.030100334448160536,0.06688963210702341,0.0
6,0.02348993288590604,0.053691275167785234,0.0
7,0.020202020202020204,0.037037037037037035,0.0
8,0.016891891891891893,0.02364864864864865,0.0
9,0.01694915254237288,0.013559322033898305,0.0
10,0.017006802721088437,0.003401360544217687,0.0
11,0.013651877133105802,0.0,0.0
12,0.010273972602739725,0.0,0.0
13,0.010309278350515464,0.0,0.0
14,0.006896551724137931,0.0,0.0
15,0.0034602076124567475,0.0,0.0
16,0.003472222222222222,0.0,0.0
17,0.003484320557491289,0.0,0.0
18,0.0034965034965034965,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
