THR,Frames,Tri-Axis FPR,Net FPR,GC FPR
1,1200,0.8875,0.1525,0.26
2,1199,0.8515429524603837,0.058381984987489574,0.12343619683069225
3,1198,0.8397328881469115,0.038397328881469114,0.08013355592654424
4,1197,0.8320802005012531,0.031746031746031744,0.059314954051796154
5,1196,0.8269230769230769,0.027591973244147156,0.047658862876254184
6,1195,0.8225941422594142,0.023430962343096235,0.0401673640167364
7,1194,0.8190954773869347,0.020100502512562814,0.032663316582914576
8,1193,0.815590947191953,0.01760268231349539,0.027661357921207042
9,1192,0.8120805369127517,0.015100671140939598,0.02348993288590604
10,1191,0.8085642317380353,0.012594458438287154,0.020151133501259445
11,1190,0.8050420168067227,0.010924369747899159,0.01764705882352941
12,1189,0.8015138772077376,0.009251471825063078,0.01682085786375105
13,1188,0.797979797979798,0.007575757575757576,0.015993265993265993
14,1187,0.7944397641112048,0.005897219882055603,0.015164279696714406
15,1186,0.790893760539629,0.00505902192242833,0.01433389544688027
16,1185,0.7873417721518987,0.004219409282700422,0.01350210970464135
17,1184,0.7837837837837838,0.0033783783783783786,0.01266891891891892
18,1183,0.7802197802197802,0.00253592561284869,0.011834319526627219
19,1182,0.7766497461928934,0.001692047377326565,0.010998307952622674
20,1181,0.77307366638442,0.000846740050804403,0.010160880609652836
21,1180,0.7694915254237288,0.0,0.009322033898305085
22,1179,0.7659033078880407,0.0,0.008481764206955046
23,1178,0.7623089983022071,0.0,0.007640067911714771
24,1177,0.7587085811384877,0.0,0.006796941376380629
25,1176,0.7551020408163265,0.0,0.005952380952380952
26,1175,0.7514893617021277,0.0,0.005106382978723404
27,1174,0.747870528109029,0.0,0.004258943781942078
28,1173,0.7450980392156863,0.0,0.0034100596760443308
29,1172,0.742320819112628,0.0,0.002559726962457338
30,1171,0.7395388556789069,0.0,0.0017079419299743809
